age	exposure	exposure level	outcome	week	HR
0	kids_cat3	2	covid_tpp_prob	5	0.97 (0.84-1.12)
0	kids_cat3	2	covid_tpp_prob	6	0.98 (0.84-1.14)
0	kids_cat3	2	covid_tpp_prob	7	1.12 (0.96-1.32)
1	kids_cat3	1	covid_tpp_prob	0	1.04 (0.78-1.39)
1	kids_cat3	1	covid_tpp_prob	1	1.12 (0.79-1.59)
1	kids_cat3	1	covid_tpp_prob	2	1.01 (0.70-1.48)
1	kids_cat3	1	covid_tpp_prob	3	1.39 (0.88-2.18)
1	kids_cat3	1	covid_tpp_prob	4	0.78 (0.48-1.25)
1	kids_cat3	1	covid_tpp_prob	5	0.84 (0.52-1.35)
1	kids_cat3	1	covid_tpp_prob	6	1.01 (0.57-1.79)
1	kids_cat3	1	covid_tpp_prob	7	0.87 (0.45-1.71)
1	kids_cat3	2	covid_tpp_prob	0	0.74 (0.46-1.19)
1	kids_cat3	2	covid_tpp_prob	1	0.57 (0.29-1.10)
1	kids_cat3	2	covid_tpp_prob	2	0.79 (0.46-1.36)
1	kids_cat3	2	covid_tpp_prob	3	1.40 (0.78-2.53)
1	kids_cat3	2	covid_tpp_prob	4	0.79 (0.41-1.51)
1	kids_cat3	2	covid_tpp_prob	5	0.87 (0.46-1.64)
1	kids_cat3	2	covid_tpp_prob	6	0.87 (0.39-1.96)
1	kids_cat3	2	covid_tpp_prob	7	0.87 (0.36-2.13)
0	kids_cat3	1	covidadmission	0	0.94 (0.83-1.06)
0	kids_cat3	1	covidadmission	1	1.20 (1.02-1.41)
0	kids_cat3	1	covidadmission	2	0.89 (0.73-1.10)
0	kids_cat3	1	covidadmission	3	0.92 (0.71-1.18)
0	kids_cat3	1	covidadmission	4	0.72 (0.55-0.95)
0	kids_cat3	1	covidadmission	5	DID NOT FIT
0	kids_cat3	1	covidadmission	6	DID NOT FIT
0	kids_cat3	1	covidadmission	7	DID NOT FIT
0	kids_cat3	2	covidadmission	0	1.13 (0.98-1.31)
0	kids_cat3	2	covidadmission	1	1.26 (1.03-1.54)
0	kids_cat3	2	covidadmission	2	0.92 (0.70-1.20)
0	kids_cat3	2	covidadmission	3	1.03 (0.75-1.42)
0	kids_cat3	2	covidadmission	4	0.61 (0.40-0.94)
0	kids_cat3	2	covidadmission	5	DID NOT FIT
0	kids_cat3	2	covidadmission	6	DID NOT FIT
0	kids_cat3	2	covidadmission	7	DID NOT FIT
1	kids_cat3	1	covidadmission	0	1.05 (0.83-1.32)
1	kids_cat3	1	covidadmission	1	0.91 (0.66-1.25)
1	kids_cat3	1	covidadmission	2	0.94 (0.59-1.52)
1	kids_cat3	1	covidadmission	3	0.85 (0.45-1.61)
1	kids_cat3	1	covidadmission	4	0.80 (0.40-1.62)
1	kids_cat3	1	covidadmission	5	DID NOT FIT
1	kids_cat3	1	covidadmission	6	DID NOT FIT
1	kids_cat3	1	covidadmission	7	DID NOT FIT
1	kids_cat3	2	covidadmission	0	0.92 (0.66-1.29)
1	kids_cat3	2	covidadmission	1	0.89 (0.56-1.41)
1	kids_cat3	2	covidadmission	2	1.40 (0.82-2.39)
1	kids_cat3	2	covidadmission	3	0.97 (0.42-2.22)
1	kids_cat3	2	covidadmission	4	1.64 (0.82-3.30)
1	kids_cat3	2	covidadmission	5	DID NOT FIT
1	kids_cat3	2	covidadmission	6	DID NOT FIT
1	kids_cat3	2	covidadmission	7	DID NOT FIT
0	kids_cat3	1	covid_icu	0	0.98 (0.77-1.25)
0	kids_cat3	1	covid_icu	1	1.22 (0.89-1.69)
0	kids_cat3	1	covid_icu	2	0.77 (0.47-1.26)
0	kids_cat3	1	covid_icu	3	0.94 (0.53-1.68)
0	kids_cat3	1	covid_icu	4	0.64 (0.33-1.24)
0	kids_cat3	1	covid_icu	5	0.71 (0.32-1.55)
0	kids_cat3	1	covid_icu	6	1.01 (0.36-2.83)
0	kids_cat3	1	covid_icu	7	0.47 (0.12-1.86)
0	kids_cat3	2	covid_icu	0	1.09 (0.81-1.45)
0	kids_cat3	2	covid_icu	1	1.14 (0.77-1.68)
0	kids_cat3	2	covid_icu	2	0.93 (0.55-1.58)
0	kids_cat3	2	covid_icu	3	1.33 (0.73-2.45)
0	kids_cat3	2	covid_icu	4	0.90 (0.41-1.94)
0	kids_cat3	2	covid_icu	5	0.63 (0.23-1.72)
0	kids_cat3	2	covid_icu	6	1.39 (0.45-4.31)
0	kids_cat3	2	covid_icu	7	0.41 (0.06-2.90)
1	kids_cat3	1	covid_icu	0	0.65 (0.31-1.39)
1	kids_cat3	1	covid_icu	1	1.57 (0.60-4.11)
1	kids_cat3	1	covid_icu	2	0.52 (0.07-3.92)
1	kids_cat3	1	covid_icu	3	0.00 (0.00-0.00)
1	kids_cat3	1	covid_icu	4	0.77 (0.09-6.32)
1	kids_cat3	1	covid_icu	5	2.33 (0.88-6.13)
1	kids_cat3	1	covid_icu	6	2.26 (0.12-42.20)
1	kids_cat3	1	covid_icu	7	0.00 (   .-   .)
1	kids_cat3	2	covid_icu	0	0.77 (0.28-2.10)
1	kids_cat3	2	covid_icu	1	1.88 (0.56-6.29)
1	kids_cat3	2	covid_icu	2	3.86 (0.87-17.10)
1	kids_cat3	2	covid_icu	3	0.00 (0.00-0.00)
1	kids_cat3	2	covid_icu	4	3.97 (0.67-23.62)
1	kids_cat3	2	covid_icu	5	0.00 (   .-   .)
1	kids_cat3	2	covid_icu	6	0.00 (0.00-0.00)
1	kids_cat3	2	covid_icu	7	0.00 (   .-   .)
0	kids_cat3	1	covid_death	0	0.56 (0.33-0.96)
0	kids_cat3	1	covid_death	1	0.39 (0.23-0.67)
0	kids_cat3	1	covid_death	2	0.83 (0.48-1.44)
0	kids_cat3	1	covid_death	3	0.60 (0.13-2.82)
0	kids_cat3	1	covid_death	4	1.08 (0.51-2.29)
0	kids_cat3	1	covid_death	5	1.13 (0.47-2.70)
0	kids_cat3	1	covid_death	6	0.72 (0.28-1.82)
0	kids_cat3	1	covid_death	7	5.83 (1.02-33.38)
0	kids_cat3	2	covid_death	0	0.74 (0.39-1.41)
0	kids_cat3	2	covid_death	1	0.87 (0.53-1.43)
0	kids_cat3	2	covid_death	2	0.82 (0.42-1.59)
0	kids_cat3	2	covid_death	3	0.00 (0.00-0.00)
0	kids_cat3	2	covid_death	4	0.89 (0.33-2.37)
0	kids_cat3	2	covid_death	5	0.74 (0.22-2.48)
0	kids_cat3	2	covid_death	6	0.43 (0.10-1.83)
0	kids_cat3	2	covid_death	7	0.00 (   .-   .)
1	kids_cat3	1	covid_death	0	0.75 (0.46-1.23)
1	kids_cat3	1	covid_death	1	1.06 (0.73-1.55)
1	kids_cat3	1	covid_death	2	0.82 (0.47-1.44)
1	kids_cat3	1	covid_death	3	0.00 (0.00-0.00)
1	kids_cat3	1	covid_death	4	0.68 (0.29-1.58)
1	kids_cat3	1	covid_death	5	0.90 (0.45-1.83)
1	kids_cat3	1	covid_death	6	1.18 (0.50-2.77)
1	kids_cat3	1	covid_death	7	0.00 (0.00-0.00)
1	kids_cat3	2	covid_death	0	0.60 (0.29-1.27)
1	kids_cat3	2	covid_death	1	0.96 (0.56-1.66)
1	kids_cat3	2	covid_death	2	1.12 (0.58-2.15)
1	kids_cat3	2	covid_death	3	0.86 (0.12-6.40)
1	kids_cat3	2	covid_death	4	0.22 (0.03-1.58)
1	kids_cat3	2	covid_death	5	0.20 (0.03-1.40)
1	kids_cat3	2	covid_death	6	1.13 (0.34-3.73)
1	kids_cat3	2	covid_death	7	0.00 (0.00-0.00)

